# Distribución de masa en la superficie (z = altura)
# Paso: 59, Tiempo: 59s
x y masa_arroz temperatura
-8.000000 -8.000000 0.000000 25.000000
-8.000000 -7.838384 0.000000 25.000000
-8.000000 -7.676768 0.000000 25.000000
-8.000000 -7.515152 0.000000 25.000000
-8.000000 -7.353535 0.000000 25.000000
-8.000000 -7.191919 0.000000 25.000000
-8.000000 -7.030303 0.000000 25.000000
-8.000000 -6.868687 0.000000 25.000000
-8.000000 -6.707071 0.000000 25.000000
-8.000000 -6.545455 0.000000 25.000000
-8.000000 -6.383838 0.000000 25.000000
-8.000000 -6.222222 0.000000 25.000000
-8.000000 -6.060606 0.000000 25.000000
-8.000000 -5.898990 0.000000 25.000000
-8.000000 -5.737374 0.000000 25.000000
-8.000000 -5.575758 0.000000 25.000000
-8.000000 -5.414141 0.000000 25.000000
-8.000000 -5.252525 0.000000 25.000000
-8.000000 -5.090909 0.000000 25.000000
-8.000000 -4.929293 0.000000 25.000000
-8.000000 -4.767677 0.000000 25.000000
-8.000000 -4.606061 0.000000 25.000000
-8.000000 -4.444444 0.000000 25.000000
-8.000000 -4.282828 0.000000 25.000000
-8.000000 -4.121212 0.000000 25.000000
-8.000000 -3.959596 0.000000 25.000000
-8.000000 -3.797980 0.000000 25.000000
-8.000000 -3.636364 0.000000 25.000000
-8.000000 -3.474747 0.000000 25.000000
-8.000000 -3.313131 0.000000 25.000000
-8.000000 -3.151515 0.000000 25.000000
-8.000000 -2.989899 0.000000 25.000000
-8.000000 -2.828283 0.000000 25.000000
-8.000000 -2.666667 0.000000 25.000000
-8.000000 -2.505051 0.000000 25.000000
-8.000000 -2.343434 0.000000 25.000000
-8.000000 -2.181818 0.000000 25.000000
-8.000000 -2.020202 0.000000 25.000000
-8.000000 -1.858586 0.000000 25.000000
-8.000000 -1.696970 0.000000 25.000000
-8.000000 -1.535354 0.000000 25.000000
-8.000000 -1.373737 0.000000 25.000000
-8.000000 -1.212121 0.000000 25.000000
-8.000000 -1.050505 0.000000 25.000000
-8.000000 -0.888889 0.000000 25.000000
-8.000000 -0.727273 0.000000 25.000000
-8.000000 -0.565657 0.000000 25.000000
-8.000000 -0.404040 0.000000 25.000000
-8.000000 -0.242424 0.000000 25.000000
-8.000000 -0.080808 0.000000 25.000000
-8.000000 0.080808 0.000000 25.000000
-8.000000 0.242424 0.000000 25.000000
-8.000000 0.404040 0.000000 25.000000
-8.000000 0.565657 0.000000 25.000000
-8.000000 0.727273 0.000000 25.000000
-8.000000 0.888889 0.000000 25.000000
-8.000000 1.050505 0.000000 25.000000
-8.000000 1.212121 0.000000 25.000000
-8.000000 1.373737 0.000000 25.000000
-8.000000 1.535354 0.000000 25.000000
-8.000000 1.696970 0.000000 25.000000
-8.000000 1.858586 0.000000 25.000000
-8.000000 2.020202 0.000000 25.000000
-8.000000 2.181818 0.000000 25.000000
-8.000000 2.343434 0.000000 25.000000
-8.000000 2.505051 0.000000 25.000000
-8.000000 2.666667 0.000000 25.000000
-8.000000 2.828283 0.000000 25.000000
-8.000000 2.989899 0.000000 25.000000
-8.000000 3.151515 0.000000 25.000000
-8.000000 3.313131 0.000000 25.000000
-8.000000 3.474747 0.000000 25.000000
-8.000000 3.636364 0.000000 25.000000
-8.000000 3.797980 0.000000 25.000000
-8.000000 3.959596 0.000000 25.000000
-8.000000 4.121212 0.000000 25.000000
-8.000000 4.282828 0.000000 25.000000
-8.000000 4.444444 0.000000 25.000000
-8.000000 4.606061 0.000000 25.000000
-8.000000 4.767677 0.000000 25.000000
-8.000000 4.929293 0.000000 25.000000
-8.000000 5.090909 0.000000 25.000000
-8.000000 5.252525 0.000000 25.000000
-8.000000 5.414141 0.000000 25.000000
-8.000000 5.575758 0.000000 25.000000
-8.000000 5.737374 0.000000 25.000000
-8.000000 5.898990 0.000000 25.000000
-8.000000 6.060606 0.000000 25.000000
-8.000000 6.222222 0.000000 25.000000
-8.000000 6.383838 0.000000 25.000000
-8.000000 6.545455 0.000000 25.000000
-8.000000 6.707071 0.000000 25.000000
-8.000000 6.868687 0.000000 25.000000
-8.000000 7.030303 0.000000 25.000000
-8.000000 7.191919 0.000000 25.000000
-8.000000 7.353535 0.000000 25.000000
-8.000000 7.515152 0.000000 25.000000
-8.000000 7.676768 0.000000 25.000000
-8.000000 7.838384 0.000000 25.000000
-8.000000 8.000000 0.000000 25.000000

-7.838384 -8.000000 0.000000 25.000000
-7.838384 -7.838384 0.000000 25.000000
-7.838384 -7.676768 0.000000 25.000000
-7.838384 -7.515152 0.000000 25.000000
-7.838384 -7.353535 0.000000 25.000000
-7.838384 -7.191919 0.000000 25.000000
-7.838384 -7.030303 0.000000 25.000000
-7.838384 -6.868687 0.000000 25.000000
-7.838384 -6.707071 0.000000 25.000000
-7.838384 -6.545455 0.000000 25.000000
-7.838384 -6.383838 0.000000 25.000000
-7.838384 -6.222222 0.000000 25.000000
-7.838384 -6.060606 0.000000 25.000000
-7.838384 -5.898990 0.000000 25.000000
-7.838384 -5.737374 0.000000 25.000000
-7.838384 -5.575758 0.000000 25.000000
-7.838384 -5.414141 0.000000 25.000000
-7.838384 -5.252525 0.000000 25.000000
-7.838384 -5.090909 0.000000 25.000000
-7.838384 -4.929293 0.000000 25.000000
-7.838384 -4.767677 0.000000 25.000000
-7.838384 -4.606061 0.000000 25.000000
-7.838384 -4.444444 0.000000 25.000000
-7.838384 -4.282828 0.000000 25.000000
-7.838384 -4.121212 0.000000 25.000000
-7.838384 -3.959596 0.000000 25.000000
-7.838384 -3.797980 0.000000 25.000000
-7.838384 -3.636364 0.000000 25.000000
-7.838384 -3.474747 0.000000 25.000000
-7.838384 -3.313131 0.000000 25.000000
-7.838384 -3.151515 0.000000 25.000000
-7.838384 -2.989899 0.000000 25.000000
-7.838384 -2.828283 0.000000 25.000000
-7.838384 -2.666667 0.000000 25.000000
-7.838384 -2.505051 0.000000 25.000000
-7.838384 -2.343434 0.000000 25.000000
-7.838384 -2.181818 0.000000 25.000000
-7.838384 -2.020202 0.000000 25.000000
-7.838384 -1.858586 0.000000 25.000000
-7.838384 -1.696970 0.000000 25.000000
-7.838384 -1.535354 1.000000 25.000000
-7.838384 -1.373737 1.000000 25.000000
-7.838384 -1.212121 1.000000 25.000000
-7.838384 -1.050505 1.000000 25.000000
-7.838384 -0.888889 1.000000 25.000000
-7.838384 -0.727273 1.000000 25.000000
-7.838384 -0.565657 1.000000 25.000000
-7.838384 -0.404040 1.000000 25.000000
-7.838384 -0.242424 1.000000 25.000000
-7.838384 -0.080808 1.000000 25.000000
-7.838384 0.080808 1.000000 25.000000
-7.838384 0.242424 1.000000 25.000000
-7.838384 0.404040 1.000000 25.000000
-7.838384 0.565657 1.000000 25.000000
-7.838384 0.727273 1.000000 25.000000
-7.838384 0.888889 1.000000 25.000000
-7.838384 1.050505 1.000000 25.000000
-7.838384 1.212121 1.000000 25.000000
-7.838384 1.373737 1.000000 25.000000
-7.838384 1.535354 1.000000 25.000000
-7.838384 1.696970 0.000000 25.000000
-7.838384 1.858586 0.000000 25.000000
-7.838384 2.020202 0.000000 25.000000
-7.838384 2.181818 0.000000 25.000000
-7.838384 2.343434 0.000000 25.000000
-7.838384 2.505051 0.000000 25.000000
-7.838384 2.666667 0.000000 25.000000
-7.838384 2.828283 0.000000 25.000000
-7.838384 2.989899 0.000000 25.000000
-7.838384 3.151515 0.000000 25.000000
-7.838384 3.313131 0.000000 25.000000
-7.838384 3.474747 0.000000 25.000000
-7.838384 3.636364 0.000000 25.000000
-7.838384 3.797980 0.000000 25.000000
-7.838384 3.959596 0.000000 25.000000
-7.838384 4.121212 0.000000 25.000000
-7.838384 4.282828 0.000000 25.000000
-7.838384 4.444444 0.000000 25.000000
-7.838384 4.606061 0.000000 25.000000
-7.838384 4.767677 0.000000 25.000000
-7.838384 4.929293 0.000000 25.000000
-7.838384 5.090909 0.000000 25.000000
-7.838384 5.252525 0.000000 25.000000
-7.838384 5.414141 0.000000 25.000000
-7.838384 5.575758 0.000000 25.000000
-7.838384 5.737374 0.000000 25.000000
-7.838384 5.898990 0.000000 25.000000
-7.838384 6.060606 0.000000 25.000000
-7.838384 6.222222 0.000000 25.000000
-7.838384 6.383838 0.000000 25.000000
-7.838384 6.545455 0.000000 25.000000
-7.838384 6.707071 0.000000 25.000000
-7.838384 6.868687 0.000000 25.000000
-7.838384 7.030303 0.000000 25.000000
-7.838384 7.191919 0.000000 25.000000
-7.838384 7.353535 0.000000 25.000000
-7.838384 7.515152 0.000000 25.000000
-7.838384 7.676768 0.000000 25.000000
-7.838384 7.838384 0.000000 25.000000
-7.838384 8.000000 0.000000 25.000000

-7.676768 -8.000000 0.000000 25.000000
-7.676768 -7.838384 0.000000 25.000000
-7.676768 -7.676768 0.000000 25.000000
-7.676768 -7.515152 0.000000 25.000000
-7.676768 -7.353535 0.000000 25.000000
-7.676768 -7.191919 0.000000 25.000000
-7.676768 -7.030303 0.000000 25.000000
-7.676768 -6.868687 0.000000 25.000000
-7.676768 -6.707071 0.000000 25.000000
-7.676768 -6.545455 0.000000 25.000000
-7.676768 -6.383838 0.000000 25.000000
-7.676768 -6.222222 0.000000 25.000000
-7.676768 -6.060606 0.000000 25.000000
-7.676768 -5.898990 0.000000 25.000000
-7.676768 -5.737374 0.000000 25.000000
-7.676768 -5.575758 0.000000 25.000000
-7.676768 -5.414141 0.000000 25.000000
-7.676768 -5.252525 0.000000 25.000000
-7.676768 -5.090909 0.000000 25.000000
-7.676768 -4.929293 0.000000 25.000000
-7.676768 -4.767677 0.000000 25.000000
-7.676768 -4.606061 0.000000 25.000000
-7.676768 -4.444444 0.000000 25.000000
-7.676768 -4.282828 0.000000 25.000000
-7.676768 -4.121212 0.000000 25.000000
-7.676768 -3.959596 0.000000 25.000000
-7.676768 -3.797980 0.000000 25.000000
-7.676768 -3.636364 0.000000 25.000000
-7.676768 -3.474747 0.000000 25.000000
-7.676768 -3.313131 0.000000 25.000000
-7.676768 -3.151515 0.000000 25.000000
-7.676768 -2.989899 0.000000 25.000000
-7.676768 -2.828283 0.000000 25.000000
-7.676768 -2.666667 0.000000 25.000000
-7.676768 -2.505051 0.000000 25.000000
-7.676768 -2.343434 0.000000 25.000000
-7.676768 -2.181818 1.000000 25.000000
-7.676768 -2.020202 1.000000 25.000000
-7.676768 -1.858586 1.000000 25.000000
-7.676768 -1.696970 1.000000 25.000000
-7.676768 -1.535354 1.000000 25.000000
-7.676768 -1.373737 1.000000 25.000000
-7.676768 -1.212121 1.000000 25.000000
-7.676768 -1.050505 1.000000 25.000000
-7.676768 -0.888889 1.000000 25.000000
-7.676768 -0.727273 1.000000 25.000000
-7.676768 -0.565657 1.000000 25.000000
-7.676768 -0.404040 1.000000 25.000000
-7.676768 -0.242424 1.000000 25.000000
-7.676768 -0.080808 1.000000 25.000000
-7.676768 0.080808 1.000000 25.000000
-7.676768 0.242424 1.000000 25.000000
-7.676768 0.404040 1.000000 25.000000
-7.676768 0.565657 1.000000 25.000000
-7.676768 0.727273 1.000000 25.000000
-7.676768 0.888889 1.000000 25.000000
-7.676768 1.050505 1.000000 25.000000
-7.676768 1.212121 1.000000 25.000000
-7.676768 1.373737 1.000000 25.000000
-7.676768 1.535354 1.000000 25.000000
-7.676768 1.696970 1.000000 25.000000
-7.676768 1.858586 1.000000 25.000000
-7.676768 2.020202 1.000000 25.000000
-7.676768 2.181818 1.000000 25.000000
-7.676768 2.343434 0.000000 25.000000
-7.676768 2.505051 0.000000 25.000000
-7.676768 2.666667 0.000000 25.000000
-7.676768 2.828283 0.000000 25.000000
-7.676768 2.989899 0.000000 25.000000
-7.676768 3.151515 0.000000 25.000000
-7.676768 3.313131 0.000000 25.000000
-7.676768 3.474747 0.000000 25.000000
-7.676768 3.636364 0.000000 25.000000
-7.676768 3.797980 0.000000 25.000000
-7.676768 3.959596 0.000000 25.000000
-7.676768 4.121212 0.000000 25.000000
-7.676768 4.282828 0.000000 25.000000
-7.676768 4.444444 0.000000 25.000000
-7.676768 4.606061 0.000000 25.000000
-7.676768 4.767677 0.000000 25.000000
-7.676768 4.929293 0.000000 25.000000
-7.676768 5.090909 0.000000 25.000000
-7.676768 5.252525 0.000000 25.000000
-7.676768 5.414141 0.000000 25.000000
-7.676768 5.575758 0.000000 25.000000
-7.676768 5.737374 0.000000 25.000000
-7.676768 5.898990 0.000000 25.000000
-7.676768 6.060606 0.000000 25.000000
-7.676768 6.222222 0.000000 25.000000
-7.676768 6.383838 0.000000 25.000000
-7.676768 6.545455 0.000000 25.000000
-7.676768 6.707071 0.000000 25.000000
-7.676768 6.868687 0.000000 25.000000
-7.676768 7.030303 0.000000 25.000000
-7.676768 7.191919 0.000000 25.000000
-7.676768 7.353535 0.000000 25.000000
-7.676768 7.515152 0.000000 25.000000
-7.676768 7.676768 0.000000 25.000000
-7.676768 7.838384 0.000000 25.000000
-7.676768 8.000000 0.000000 25.000000

-7.515152 -8.000000 0.000000 25.000000
-7.515152 -7.838384 0.000000 25.000000
-7.515152 -7.676768 0.000000 25.000000
-7.515152 -7.515152 0.000000 25.000000
-7.515152 -7.353535 0.000000 25.000000
-7.515152 -7.191919 0.000000 25.000000
-7.515152 -7.030303 0.000000 25.000000
-7.515152 -6.868687 0.000000 25.000000
-7.515152 -6.707071 0.000000 25.000000
-7.515152 -6.545455 0.000000 25.000000
-7.515152 -6.383838 0.000000 25.000000
-7.515152 -6.222222 0.000000 25.000000
-7.515152 -6.060606 0.000000 25.000000
-7.515152 -5.898990 0.000000 25.000000
-7.515152 -5.737374 0.000000 25.000000
-7.515152 -5.575758 0.000000 25.000000
-7.515152 -5.414141 0.000000 25.000000
